Request Index,Meal Tag Input,Execution Mode,Cache Status (HIT/MISS),Prompt Tokens,Completion Tokens,Total Tokens,LLM Inference Cost ($),AWS Egress Fee ($),Total Transaction Cost ($),Carbon Footprint (g CO2e),AWS Hosting Grid Region,File Size (KB),S3 Expiration TTL (Days),AI Identified Meal,Calories (kcal),Protein (g),Carbs (g),Fat (g),AI Nutrition Breakdown / Explanation
1,Apple,Control,MISS,493,182,675,9.157e-05,4.11e-06,9.568e-05,731.88,us-east-1,47.91,Infinite,Meal (Pomegranate),420,22,45,16,"[LOCAL SIMULATED] Elite Nutritionist Analysis:

Having thoroughly analyzed the meal ""Meal (Pomegranate)"", we detected fresh ingredients of standard weights.

Nutrition Breakdown:
- Protein: 22g
- Carbs: 45g
- Fats: 16g

Detailed Assessment: A balanced energy bowl containing complex grains, lean protein, healthy fats, and steamed vegetables."
2,Pizza,Control,MISS,478,211,689,9.915e-05,4.11e-06,0.00010326,732.9488,us-east-1,47.94,Infinite,Pepperoni Pizza Slice,290,12,32,12,"[LOCAL SIMULATED] Elite Nutritionist Analysis:

Having thoroughly analyzed the meal ""Pepperoni Pizza Slice"", we detected fresh ingredients of standard weights.

Nutrition Breakdown:
- Protein: 12g
- Carbs: 32g
- Fats: 12g

Detailed Assessment: One large slice of classic hand-tossed pepperoni pizza with mozzarella cheese and tomato sauce."
3,Salad,Control,MISS,459,216,675,9.922e-05,3.82e-06,0.00010304,723.8762,us-east-1,44.54,Infinite,Meal (Pot),420,22,45,16,"[LOCAL SIMULATED] Elite Nutritionist Analysis:

Having thoroughly analyzed the meal ""Meal (Pot)"", we detected fresh ingredients of standard weights.

Nutrition Breakdown:
- Protein: 22g
- Carbs: 45g
- Fats: 16g

Detailed Assessment: A balanced energy bowl containing complex grains, lean protein, healthy fats, and steamed vegetables."
4,Burger,Control,MISS,513,199,712,9.818e-05,2.36e-06,0.00010054,686.0187,us-east-1,27.49,Infinite,Pepperoni Pizza Slice,290,12,32,12,"[LOCAL SIMULATED] Elite Nutritionist Analysis:

Having thoroughly analyzed the meal ""Pepperoni Pizza Slice"", we detected fresh ingredients of standard weights.

Nutrition Breakdown:
- Protein: 12g
- Carbs: 32g
- Fats: 12g

Detailed Assessment: One large slice of classic hand-tossed pepperoni pizza with mozzarella cheese and tomato sauce."
5,Eggs,Control,MISS,492,201,693,9.72e-05,9.6e-07,9.816000000000001e-05,645.9288,us-east-1,11.18,Infinite,Meal (Ping-pong ball),420,22,45,16,"[LOCAL SIMULATED] Elite Nutritionist Analysis:

Having thoroughly analyzed the meal ""Meal (Ping-pong ball)"", we detected fresh ingredients of standard weights.

Nutrition Breakdown:
- Protein: 22g
- Carbs: 45g
- Fats: 16g

Detailed Assessment: A balanced energy bowl containing complex grains, lean protein, healthy fats, and steamed vegetables."
6,Chicken,Control,MISS,511,209,720,0.00010103,5.6e-06,0.00010663,776.245,us-east-1,65.24,Infinite,Meal (Handkerchief),420,22,45,16,"[LOCAL SIMULATED] Elite Nutritionist Analysis:

Having thoroughly analyzed the meal ""Meal (Handkerchief)"", we detected fresh ingredients of standard weights.

Nutrition Breakdown:
- Protein: 22g
- Carbs: 45g
- Fats: 16g

Detailed Assessment: A balanced energy bowl containing complex grains, lean protein, healthy fats, and steamed vegetables."
7,Steak,Control,MISS,498,198,696,9.675e-05,4.65e-06,0.0001014,748.22,us-east-1,54.16,Infinite,Meal (Hot pot),420,22,45,16,"[LOCAL SIMULATED] Elite Nutritionist Analysis:

Having thoroughly analyzed the meal ""Meal (Hot pot)"", we detected fresh ingredients of standard weights.

Nutrition Breakdown:
- Protein: 22g
- Carbs: 45g
- Fats: 16g

Detailed Assessment: A balanced energy bowl containing complex grains, lean protein, healthy fats, and steamed vegetables."
8,Pasta,Control,MISS,508,218,726,0.0001035,4.7e-06,0.0001082,751.83,us-east-1,54.78,Infinite,Meal (Acorn squash),420,22,45,16,"[LOCAL SIMULATED] Elite Nutritionist Analysis:

Having thoroughly analyzed the meal ""Meal (Acorn squash)"", we detected fresh ingredients of standard weights.

Nutrition Breakdown:
- Protein: 22g
- Carbs: 45g
- Fats: 16g

Detailed Assessment: A balanced energy bowl containing complex grains, lean protein, healthy fats, and steamed vegetables."
9,Sandwich,Control,MISS,482,206,688,9.795e-05,3.47e-06,0.00010142,715.0888,us-east-1,40.45,Infinite,Meal (Plate),420,22,45,16,"[LOCAL SIMULATED] Elite Nutritionist Analysis:

Having thoroughly analyzed the meal ""Meal (Plate)"", we detected fresh ingredients of standard weights.

Nutrition Breakdown:
- Protein: 22g
- Carbs: 45g
- Fats: 16g

Detailed Assessment: A balanced energy bowl containing complex grains, lean protein, healthy fats, and steamed vegetables."
10,Sushi,Control,MISS,495,210,705,0.00010013,3.3e-06,0.00010343,711.4787,us-east-1,38.42,Infinite,Meal (Burrito),420,22,45,16,"[LOCAL SIMULATED] Elite Nutritionist Analysis:

Having thoroughly analyzed the meal ""Meal (Burrito)"", we detected fresh ingredients of standard weights.

Nutrition Breakdown:
- Protein: 22g
- Carbs: 45g
- Fats: 16g

Detailed Assessment: A balanced energy bowl containing complex grains, lean protein, healthy fats, and steamed vegetables."
11,Soup,Control,MISS,483,218,701,0.00010163,4.11e-06,0.00010574,733.7325,us-east-1,47.91,Infinite,Meal (Pomegranate),420,22,45,16,"[LOCAL SIMULATED] Elite Nutritionist Analysis:

Having thoroughly analyzed the meal ""Meal (Pomegranate)"", we detected fresh ingredients of standard weights.

Nutrition Breakdown:
- Protein: 22g
- Carbs: 45g
- Fats: 16g

Detailed Assessment: A balanced energy bowl containing complex grains, lean protein, healthy fats, and steamed vegetables."
12,Taco,Control,MISS,462,197,659,9.375e-05,4.54e-06,9.829e-05,742.52,us-east-1,52.87,Infinite,Meal (Wok),420,22,45,16,"[LOCAL SIMULATED] Elite Nutritionist Analysis:

Having thoroughly analyzed the meal ""Meal (Wok)"", we detected fresh ingredients of standard weights.

Nutrition Breakdown:
- Protein: 22g
- Carbs: 45g
- Fats: 16g

Detailed Assessment: A balanced energy bowl containing complex grains, lean protein, healthy fats, and steamed vegetables."
13,Rice,Control,MISS,505,212,717,0.00010147,4.11e-06,0.00010558,734.8725,us-east-1,47.91,Infinite,Meal (Pomegranate),420,22,45,16,"[LOCAL SIMULATED] Elite Nutritionist Analysis:

Having thoroughly analyzed the meal ""Meal (Pomegranate)"", we detected fresh ingredients of standard weights.

Nutrition Breakdown:
- Protein: 22g
- Carbs: 45g
- Fats: 16g

Detailed Assessment: A balanced energy bowl containing complex grains, lean protein, healthy fats, and steamed vegetables."
14,Salmon,Control,MISS,489,197,686,9.577e-05,1.96e-06,9.773e-05,673.0987,us-east-1,22.83,Infinite,Meal (Plate),420,22,45,16,"[LOCAL SIMULATED] Elite Nutritionist Analysis:

Having thoroughly analyzed the meal ""Meal (Plate)"", we detected fresh ingredients of standard weights.

Nutrition Breakdown:
- Protein: 22g
- Carbs: 45g
- Fats: 16g

Detailed Assessment: A balanced energy bowl containing complex grains, lean protein, healthy fats, and steamed vegetables."
15,Cheese,Control,MISS,486,196,682,9.525e-05,2.73e-06,9.798e-05,693.9987,us-east-1,31.75,Infinite,Meal (Palace),420,22,45,16,"[LOCAL SIMULATED] Elite Nutritionist Analysis:

Having thoroughly analyzed the meal ""Meal (Palace)"", we detected fresh ingredients of standard weights.

Nutrition Breakdown:
- Protein: 22g
- Carbs: 45g
- Fats: 16g

Detailed Assessment: A balanced energy bowl containing complex grains, lean protein, healthy fats, and steamed vegetables."
16,Fries,Control,MISS,469,183,652,9.008e-05,4.43e-06,9.451e-05,738.91,us-east-1,51.56,Infinite,Meal (Plate),420,22,45,16,"[LOCAL SIMULATED] Elite Nutritionist Analysis:

Having thoroughly analyzed the meal ""Meal (Plate)"", we detected fresh ingredients of standard weights.

Nutrition Breakdown:
- Protein: 22g
- Carbs: 45g
- Fats: 16g

Detailed Assessment: A balanced energy bowl containing complex grains, lean protein, healthy fats, and steamed vegetables."
17,Cookie,Control,MISS,477,203,680,9.667e-05,6.24e-06,0.00010290999999999999,790.9937,us-east-1,72.65,Infinite,Meal (Dough),420,22,45,16,"[LOCAL SIMULATED] Elite Nutritionist Analysis:

Having thoroughly analyzed the meal ""Meal (Dough)"", we detected fresh ingredients of standard weights.

Nutrition Breakdown:
- Protein: 22g
- Carbs: 45g
- Fats: 16g

Detailed Assessment: A balanced energy bowl containing complex grains, lean protein, healthy fats, and steamed vegetables."
18,Cake,Control,MISS,472,216,688,0.0001002,3.15e-06,0.00010334999999999999,706.2537,us-east-1,36.73,Infinite,Scrambled Eggs (2 eggs),140,12,1,10,"[LOCAL SIMULATED] Elite Nutritionist Analysis:

Having thoroughly analyzed the meal ""Scrambled Eggs (2 eggs)"", we detected fresh ingredients of standard weights.

Nutrition Breakdown:
- Protein: 12g
- Carbs: 1g
- Fats: 10g

Detailed Assessment: Two farm-fresh eggs scrambled with a splash of milk and cooked in a small pat of butter."
19,Banana,Control,MISS,479,212,691,9.952e-05,1.46e-06,0.00010098,659.7512,us-east-1,17.06,Infinite,Medium Banana,105,1.3,27,0.3,"[LOCAL SIMULATED] Elite Nutritionist Analysis:

Having thoroughly analyzed the meal ""Medium Banana"", we detected fresh ingredients of standard weights.

Nutrition Breakdown:
- Protein: 1.3g
- Carbs: 27g
- Fats: 0.3g

Detailed Assessment: One raw yellow banana, an excellent quick source of potassium, vitamins, and fast-acting carbs."
20,Orange,Control,MISS,478,218,696,0.00010125,2.95e-06,0.0001042,701.1,us-east-1,34.32,Infinite,Meal (Orange),420,22,45,16,"[LOCAL SIMULATED] Elite Nutritionist Analysis:

Having thoroughly analyzed the meal ""Meal (Orange)"", we detected fresh ingredients of standard weights.

Nutrition Breakdown:
- Protein: 22g
- Carbs: 45g
- Fats: 16g

Detailed Assessment: A balanced energy bowl containing complex grains, lean protein, healthy fats, and steamed vegetables."
21,Grapes,Control,MISS,506,199,705,9.765e-05,3.82e-06,0.00010147,725.8237,us-east-1,44.46,Infinite,Fresh Apple,95,0.5,25,0.3,"[LOCAL SIMULATED] Elite Nutritionist Analysis:

Having thoroughly analyzed the meal ""Fresh Apple"", we detected fresh ingredients of standard weights.

Nutrition Breakdown:
- Protein: 0.5g
- Carbs: 25g
- Fats: 0.3g

Detailed Assessment: A standard medium-sized raw apple with skin, high in fiber and vitamin C."
22,Strawberry,Control,MISS,493,189,682,9.368e-05,4.99e-06,9.867e-05,756.5325,us-east-1,58.08,Infinite,Meal (Strawberry),420,22,45,16,"[LOCAL SIMULATED] Elite Nutritionist Analysis:

Having thoroughly analyzed the meal ""Meal (Strawberry)"", we detected fresh ingredients of standard weights.

Nutrition Breakdown:
- Protein: 22g
- Carbs: 45g
- Fats: 16g

Detailed Assessment: A balanced energy bowl containing complex grains, lean protein, healthy fats, and steamed vegetables."
23,Broccoli,Control,MISS,474,180,654,8.955e-05,3.24e-06,9.279e-05,706.135,us-east-1,37.7,Infinite,Meal (Broccoli),420,22,45,16,"[LOCAL SIMULATED] Elite Nutritionist Analysis:

Having thoroughly analyzed the meal ""Meal (Broccoli)"", we detected fresh ingredients of standard weights.

Nutrition Breakdown:
- Protein: 22g
- Carbs: 45g
- Fats: 16g

Detailed Assessment: A balanced energy bowl containing complex grains, lean protein, healthy fats, and steamed vegetables."
24,Carrot,Control,MISS,487,182,669,9.113e-05,4.11e-06,9.524e-05,731.4525,us-east-1,47.91,Infinite,Meal (Pomegranate),420,22,45,16,"[LOCAL SIMULATED] Elite Nutritionist Analysis:

Having thoroughly analyzed the meal ""Meal (Pomegranate)"", we detected fresh ingredients of standard weights.

Nutrition Breakdown:
- Protein: 22g
- Carbs: 45g
- Fats: 16g

Detailed Assessment: A balanced energy bowl containing complex grains, lean protein, healthy fats, and steamed vegetables."
25,Tomato,Control,MISS,476,208,684,9.81e-05,2.45e-06,0.00010055,686.66,us-east-1,28.6,Infinite,Meal (Broccoli),420,22,45,16,"[LOCAL SIMULATED] Elite Nutritionist Analysis:

Having thoroughly analyzed the meal ""Meal (Broccoli)"", we detected fresh ingredients of standard weights.

Nutrition Breakdown:
- Protein: 22g
- Carbs: 45g
- Fats: 16g

Detailed Assessment: A balanced energy bowl containing complex grains, lean protein, healthy fats, and steamed vegetables."
26,Apple,Control,MISS,505,198,703,9.727e-05,4.11e-06,0.00010138,733.875,us-east-1,47.91,Infinite,Meal (Pomegranate),420,22,45,16,"[LOCAL SIMULATED] Elite Nutritionist Analysis:

Having thoroughly analyzed the meal ""Meal (Pomegranate)"", we detected fresh ingredients of standard weights.

Nutrition Breakdown:
- Protein: 22g
- Carbs: 45g
- Fats: 16g

Detailed Assessment: A balanced energy bowl containing complex grains, lean protein, healthy fats, and steamed vegetables."
27,Pizza,Control,MISS,493,190,683,9.397e-05,4.11e-06,9.808e-05,732.5213,us-east-1,47.94,Infinite,Pepperoni Pizza Slice,290,12,32,12,"[LOCAL SIMULATED] Elite Nutritionist Analysis:

Having thoroughly analyzed the meal ""Pepperoni Pizza Slice"", we detected fresh ingredients of standard weights.

Nutrition Breakdown:
- Protein: 12g
- Carbs: 32g
- Fats: 12g

Detailed Assessment: One large slice of classic hand-tossed pepperoni pizza with mozzarella cheese and tomato sauce."
28,Salad,Control,MISS,466,197,663,9.405e-05,3.82e-06,9.787e-05,723.0212,us-east-1,44.54,Infinite,Meal (Pot),420,22,45,16,"[LOCAL SIMULATED] Elite Nutritionist Analysis:

Having thoroughly analyzed the meal ""Meal (Pot)"", we detected fresh ingredients of standard weights.

Nutrition Breakdown:
- Protein: 22g
- Carbs: 45g
- Fats: 16g

Detailed Assessment: A balanced energy bowl containing complex grains, lean protein, healthy fats, and steamed vegetables."
29,Burger,Control,MISS,515,195,710,9.713e-05,2.36e-06,9.949e-05,685.8763,us-east-1,27.49,Infinite,Pepperoni Pizza Slice,290,12,32,12,"[LOCAL SIMULATED] Elite Nutritionist Analysis:

Having thoroughly analyzed the meal ""Pepperoni Pizza Slice"", we detected fresh ingredients of standard weights.

Nutrition Breakdown:
- Protein: 12g
- Carbs: 32g
- Fats: 12g

Detailed Assessment: One large slice of classic hand-tossed pepperoni pizza with mozzarella cheese and tomato sauce."
30,Eggs,Control,MISS,512,189,701,9.51e-05,9.6e-07,9.606e-05,646.4987,us-east-1,11.18,Infinite,Meal (Ping-pong ball),420,22,45,16,"[LOCAL SIMULATED] Elite Nutritionist Analysis:

Having thoroughly analyzed the meal ""Meal (Ping-pong ball)"", we detected fresh ingredients of standard weights.

Nutrition Breakdown:
- Protein: 22g
- Carbs: 45g
- Fats: 16g

Detailed Assessment: A balanced energy bowl containing complex grains, lean protein, healthy fats, and steamed vegetables."
31,Chicken,Control,MISS,501,189,690,9.428e-05,5.6e-06,9.988e-05,774.1075,us-east-1,65.24,Infinite,Meal (Handkerchief),420,22,45,16,"[LOCAL SIMULATED] Elite Nutritionist Analysis:

Having thoroughly analyzed the meal ""Meal (Handkerchief)"", we detected fresh ingredients of standard weights.

Nutrition Breakdown:
- Protein: 22g
- Carbs: 45g
- Fats: 16g

Detailed Assessment: A balanced energy bowl containing complex grains, lean protein, healthy fats, and steamed vegetables."
32,Steak,Control,MISS,499,213,712,0.00010132,4.65e-06,0.00010597,749.36,us-east-1,54.16,Infinite,Meal (Hot pot),420,22,45,16,"[LOCAL SIMULATED] Elite Nutritionist Analysis:

Having thoroughly analyzed the meal ""Meal (Hot pot)"", we detected fresh ingredients of standard weights.

Nutrition Breakdown:
- Protein: 22g
- Carbs: 45g
- Fats: 16g

Detailed Assessment: A balanced energy bowl containing complex grains, lean protein, healthy fats, and steamed vegetables."
33,Pasta,Control,MISS,506,206,712,9.975e-05,4.7e-06,0.00010445,750.8325,us-east-1,54.78,Infinite,Meal (Acorn squash),420,22,45,16,"[LOCAL SIMULATED] Elite Nutritionist Analysis:

Having thoroughly analyzed the meal ""Meal (Acorn squash)"", we detected fresh ingredients of standard weights.

Nutrition Breakdown:
- Protein: 22g
- Carbs: 45g
- Fats: 16g

Detailed Assessment: A balanced energy bowl containing complex grains, lean protein, healthy fats, and steamed vegetables."
34,Sandwich,Control,MISS,471,180,651,8.933e-05,3.47e-06,9.28e-05,712.4525,us-east-1,40.45,Infinite,Meal (Plate),420,22,45,16,"[LOCAL SIMULATED] Elite Nutritionist Analysis:

Having thoroughly analyzed the meal ""Meal (Plate)"", we detected fresh ingredients of standard weights.

Nutrition Breakdown:
- Protein: 22g
- Carbs: 45g
- Fats: 16g

Detailed Assessment: A balanced energy bowl containing complex grains, lean protein, healthy fats, and steamed vegetables."
35,Sushi,Control,MISS,483,204,687,9.742e-05,3.3e-06,0.00010072,710.1962,us-east-1,38.42,Infinite,Meal (Burrito),420,22,45,16,"[LOCAL SIMULATED] Elite Nutritionist Analysis:

Having thoroughly analyzed the meal ""Meal (Burrito)"", we detected fresh ingredients of standard weights.

Nutrition Breakdown:
- Protein: 22g
- Carbs: 45g
- Fats: 16g

Detailed Assessment: A balanced energy bowl containing complex grains, lean protein, healthy fats, and steamed vegetables."
36,Soup,Control,MISS,491,196,687,9.562e-05,4.11e-06,9.973e-05,732.735,us-east-1,47.91,Infinite,Meal (Pomegranate),420,22,45,16,"[LOCAL SIMULATED] Elite Nutritionist Analysis:

Having thoroughly analyzed the meal ""Meal (Pomegranate)"", we detected fresh ingredients of standard weights.

Nutrition Breakdown:
- Protein: 22g
- Carbs: 45g
- Fats: 16g

Detailed Assessment: A balanced energy bowl containing complex grains, lean protein, healthy fats, and steamed vegetables."
37,Taco,Control,MISS,465,193,658,9.277e-05,4.54e-06,9.730999999999999e-05,742.4488,us-east-1,52.87,Infinite,Meal (Wok),420,22,45,16,"[LOCAL SIMULATED] Elite Nutritionist Analysis:

Having thoroughly analyzed the meal ""Meal (Wok)"", we detected fresh ingredients of standard weights.

Nutrition Breakdown:
- Protein: 22g
- Carbs: 45g
- Fats: 16g

Detailed Assessment: A balanced energy bowl containing complex grains, lean protein, healthy fats, and steamed vegetables."
38,Rice,Control,MISS,493,212,705,0.00010057,4.11e-06,0.00010468,734.0175,us-east-1,47.91,Infinite,Meal (Pomegranate),420,22,45,16,"[LOCAL SIMULATED] Elite Nutritionist Analysis:

Having thoroughly analyzed the meal ""Meal (Pomegranate)"", we detected fresh ingredients of standard weights.

Nutrition Breakdown:
- Protein: 22g
- Carbs: 45g
- Fats: 16g

Detailed Assessment: A balanced energy bowl containing complex grains, lean protein, healthy fats, and steamed vegetables."
39,Salmon,Control,MISS,494,209,703,9.975e-05,1.96e-06,0.00010171,674.31,us-east-1,22.83,Infinite,Meal (Plate),420,22,45,16,"[LOCAL SIMULATED] Elite Nutritionist Analysis:

Having thoroughly analyzed the meal ""Meal (Plate)"", we detected fresh ingredients of standard weights.

Nutrition Breakdown:
- Protein: 22g
- Carbs: 45g
- Fats: 16g

Detailed Assessment: A balanced energy bowl containing complex grains, lean protein, healthy fats, and steamed vegetables."
40,Cheese,Control,MISS,492,211,703,0.0001002,2.73e-06,0.00010292999999999999,695.495,us-east-1,31.75,Infinite,Meal (Palace),420,22,45,16,"[LOCAL SIMULATED] Elite Nutritionist Analysis:

Having thoroughly analyzed the meal ""Meal (Palace)"", we detected fresh ingredients of standard weights.

Nutrition Breakdown:
- Protein: 22g
- Carbs: 45g
- Fats: 16g

Detailed Assessment: A balanced energy bowl containing complex grains, lean protein, healthy fats, and steamed vegetables."
41,Fries,Control,MISS,474,184,658,9.075e-05,4.43e-06,9.518e-05,739.3375,us-east-1,51.56,Infinite,Meal (Plate),420,22,45,16,"[LOCAL SIMULATED] Elite Nutritionist Analysis:

Having thoroughly analyzed the meal ""Meal (Plate)"", we detected fresh ingredients of standard weights.

Nutrition Breakdown:
- Protein: 22g
- Carbs: 45g
- Fats: 16g

Detailed Assessment: A balanced energy bowl containing complex grains, lean protein, healthy fats, and steamed vegetables."
42,Cookie,Control,MISS,487,180,667,9.053e-05,6.24e-06,9.677e-05,790.0675,us-east-1,72.65,Infinite,Meal (Dough),420,22,45,16,"[LOCAL SIMULATED] Elite Nutritionist Analysis:

Having thoroughly analyzed the meal ""Meal (Dough)"", we detected fresh ingredients of standard weights.

Nutrition Breakdown:
- Protein: 22g
- Carbs: 45g
- Fats: 16g

Detailed Assessment: A balanced energy bowl containing complex grains, lean protein, healthy fats, and steamed vegetables."
43,Cake,Control,MISS,491,185,676,9.232e-05,3.15e-06,9.546999999999999e-05,705.3987,us-east-1,36.73,Infinite,Scrambled Eggs (2 eggs),140,12,1,10,"[LOCAL SIMULATED] Elite Nutritionist Analysis:

Having thoroughly analyzed the meal ""Scrambled Eggs (2 eggs)"", we detected fresh ingredients of standard weights.

Nutrition Breakdown:
- Protein: 12g
- Carbs: 1g
- Fats: 10g

Detailed Assessment: Two farm-fresh eggs scrambled with a splash of milk and cooked in a small pat of butter."
44,Banana,Control,MISS,493,215,708,0.00010147,1.46e-06,0.00010293,660.9625,us-east-1,17.06,Infinite,Medium Banana,105,1.3,27,0.3,"[LOCAL SIMULATED] Elite Nutritionist Analysis:

Having thoroughly analyzed the meal ""Medium Banana"", we detected fresh ingredients of standard weights.

Nutrition Breakdown:
- Protein: 1.3g
- Carbs: 27g
- Fats: 0.3g

Detailed Assessment: One raw yellow banana, an excellent quick source of potassium, vitamins, and fast-acting carbs."
45,Orange,Control,MISS,471,204,675,9.653e-05,2.95e-06,9.948e-05,699.6037,us-east-1,34.32,Infinite,Meal (Orange),420,22,45,16,"[LOCAL SIMULATED] Elite Nutritionist Analysis:

Having thoroughly analyzed the meal ""Meal (Orange)"", we detected fresh ingredients of standard weights.

Nutrition Breakdown:
- Protein: 22g
- Carbs: 45g
- Fats: 16g

Detailed Assessment: A balanced energy bowl containing complex grains, lean protein, healthy fats, and steamed vegetables."
46,Grapes,Control,MISS,500,216,716,0.0001023,3.82e-06,0.00010612000000000001,726.6075,us-east-1,44.46,Infinite,Fresh Apple,95,0.5,25,0.3,"[LOCAL SIMULATED] Elite Nutritionist Analysis:

Having thoroughly analyzed the meal ""Fresh Apple"", we detected fresh ingredients of standard weights.

Nutrition Breakdown:
- Protein: 0.5g
- Carbs: 25g
- Fats: 0.3g

Detailed Assessment: A standard medium-sized raw apple with skin, high in fiber and vitamin C."
47,Strawberry,Control,MISS,506,186,692,9.375e-05,4.99e-06,9.874e-05,757.245,us-east-1,58.08,Infinite,Meal (Strawberry),420,22,45,16,"[LOCAL SIMULATED] Elite Nutritionist Analysis:

Having thoroughly analyzed the meal ""Meal (Strawberry)"", we detected fresh ingredients of standard weights.

Nutrition Breakdown:
- Protein: 22g
- Carbs: 45g
- Fats: 16g

Detailed Assessment: A balanced energy bowl containing complex grains, lean protein, healthy fats, and steamed vegetables."
