Request Index,Meal Tag Input,Execution Mode,Cache Status (HIT/MISS),Prompt Tokens,Completion Tokens,Total Tokens,LLM Inference Cost ($),AWS Egress Fee ($),Total Transaction Cost ($),Carbon Footprint (g CO2e),AWS Hosting Grid Region,File Size (KB),S3 Expiration TTL (Days),AI Identified Meal,Calories (kcal),Protein (g),Carbs (g),Fat (g),AI Nutrition Breakdown / Explanation
97,Strawberry,Control,MISS,509,199,708,9.788e-05,4.99e-06,0.00010287000000000001,758.385,us-east-1,58.08,Infinite,Meal (Strawberry),420,22,45,16,"[LOCAL SIMULATED] Elite Nutritionist Analysis:

Having thoroughly analyzed the meal ""Meal (Strawberry)"", we detected fresh ingredients of standard weights.

Nutrition Breakdown:
- Protein: 22g
- Carbs: 45g
- Fats: 16g

Detailed Assessment: A balanced energy bowl containing complex grains, lean protein, healthy fats, and steamed vegetables."
98,Broccoli,Control,MISS,484,187,671,9.24e-05,3.24e-06,9.564e-05,707.3462,us-east-1,37.7,Infinite,Meal (Broccoli),420,22,45,16,"[LOCAL SIMULATED] Elite Nutritionist Analysis:

Having thoroughly analyzed the meal ""Meal (Broccoli)"", we detected fresh ingredients of standard weights.

Nutrition Breakdown:
- Protein: 22g
- Carbs: 45g
- Fats: 16g

Detailed Assessment: A balanced energy bowl containing complex grains, lean protein, healthy fats, and steamed vegetables."
99,Carrot,Control,MISS,490,200,690,9.675e-05,4.11e-06,0.00010085999999999999,732.9488,us-east-1,47.91,Infinite,Meal (Pomegranate),420,22,45,16,"[LOCAL SIMULATED] Elite Nutritionist Analysis:

Having thoroughly analyzed the meal ""Meal (Pomegranate)"", we detected fresh ingredients of standard weights.

Nutrition Breakdown:
- Protein: 22g
- Carbs: 45g
- Fats: 16g

Detailed Assessment: A balanced energy bowl containing complex grains, lean protein, healthy fats, and steamed vegetables."
100,Tomato,Control,MISS,496,207,703,9.93e-05,2.45e-06,0.00010175,688.0137,us-east-1,28.6,Infinite,Meal (Broccoli),420,22,45,16,"[LOCAL SIMULATED] Elite Nutritionist Analysis:

Having thoroughly analyzed the meal ""Meal (Broccoli)"", we detected fresh ingredients of standard weights.

Nutrition Breakdown:
- Protein: 22g
- Carbs: 45g
- Fats: 16g

Detailed Assessment: A balanced energy bowl containing complex grains, lean protein, healthy fats, and steamed vegetables."
101,Apple,Experimental,MISS,92,49,141,2.16e-05,2.86e-06,2.446e-05,6.7542,eu-west-1,33.28,7,Meal (Pomegranate),420,22,45,16,"A balanced energy bowl containing complex grains, lean protein, healthy fats, and steamed vegetables."
102,Pizza,Experimental,MISS,86,37,123,1.755e-05,2.95e-06,2.05e-05,6.7418,eu-west-1,34.32,7,Pepperoni Pizza Slice,290,12,32,12,One large slice of classic hand-tossed pepperoni pizza with mozzarella cheese and tomato sauce.
103,Salad,Experimental,MISS,86,45,131,1.995e-05,2.72e-06,2.267e-05,6.6586,eu-west-1,31.64,7,Meal (Pot),420,22,45,16,"A balanced energy bowl containing complex grains, lean protein, healthy fats, and steamed vegetables."
104,Burger,Experimental,MISS,84,44,128,1.95e-05,1.5e-06,2.1e-05,6.0836,eu-west-1,17.49,7,Pepperoni Pizza Slice,290,12,32,12,One large slice of classic hand-tossed pepperoni pizza with mozzarella cheese and tomato sauce.
105,Eggs,Experimental,MISS,93,48,141,2.137e-05,3e-07,2.167e-05,5.563,eu-west-1,3.5,7,Meal (Ping-pong ball),420,22,45,16,"A balanced energy bowl containing complex grains, lean protein, healthy fats, and steamed vegetables."
106,Chicken,Experimental,MISS,92,37,129,1.8e-05,3.54e-06,2.154e-05,7.0378,eu-west-1,41.27,7,Meal (Handkerchief),420,22,45,16,"A balanced energy bowl containing complex grains, lean protein, healthy fats, and steamed vegetables."
107,Steak,Experimental,MISS,84,41,125,1.86e-05,3.56e-06,2.216e-05,7.033,eu-west-1,41.45,7,Meal (Hot pot),420,22,45,16,"A balanced energy bowl containing complex grains, lean protein, healthy fats, and steamed vegetables."
108,Pasta,Experimental,MISS,85,46,131,2.017e-05,3.11e-06,2.3279999999999997e-05,6.8438,eu-west-1,36.27,7,Meal (Acorn squash),420,22,45,16,"A balanced energy bowl containing complex grains, lean protein, healthy fats, and steamed vegetables."
109,Sandwich,Experimental,MISS,83,44,127,1.942e-05,2.37e-06,2.179e-05,6.487,eu-west-1,27.65,7,Meal (Plate),420,22,45,16,"A balanced energy bowl containing complex grains, lean protein, healthy fats, and steamed vegetables."
110,Sushi,Experimental,MISS,81,35,116,1.657e-05,2.11e-06,1.8679999999999997e-05,6.3312,eu-west-1,24.58,7,Meal (Burrito),420,22,45,16,"A balanced energy bowl containing complex grains, lean protein, healthy fats, and steamed vegetables."
111,Soup,Experimental,HIT,0,0,0,0,2.86e-06,2.86e-06,0.002,eu-west-1,33.28,7,Meal (Pomegranate),420,22,45,16,"A balanced energy bowl containing complex grains, lean protein, healthy fats, and steamed vegetables."
112,Taco,Experimental,MISS,86,42,128,1.905e-05,2.75e-06,2.1799999999999998e-05,6.6664,eu-west-1,32.06,7,Meal (Wok),420,22,45,16,"A balanced energy bowl containing complex grains, lean protein, healthy fats, and steamed vegetables."
113,Rice,Experimental,HIT,0,0,0,0,2.86e-06,2.86e-06,0.002,eu-west-1,33.28,7,Meal (Pomegranate),420,22,45,16,"A balanced energy bowl containing complex grains, lean protein, healthy fats, and steamed vegetables."
114,Salmon,Experimental,MISS,79,41,120,1.822e-05,1.03e-06,1.9249999999999997e-05,5.8384,eu-west-1,11.96,7,Meal (Plate),420,22,45,16,"A balanced energy bowl containing complex grains, lean protein, healthy fats, and steamed vegetables."
115,Cheese,Experimental,MISS,83,49,132,2.092e-05,1.77e-06,2.269e-05,6.2212,eu-west-1,20.63,7,Meal (Palace),420,22,45,16,"A balanced energy bowl containing complex grains, lean protein, healthy fats, and steamed vegetables."
116,Fries,Experimental,MISS,85,48,133,2.078e-05,2.58e-06,2.336e-05,6.6026,eu-west-1,30.09,7,Meal (Plate),420,22,45,16,"A balanced energy bowl containing complex grains, lean protein, healthy fats, and steamed vegetables."
117,Cookie,Experimental,MISS,81,37,118,1.717e-05,4.37e-06,2.154e-05,7.3924,eu-west-1,50.96,7,Meal (Dough),420,22,45,16,"A balanced energy bowl containing complex grains, lean protein, healthy fats, and steamed vegetables."
118,Cake,Experimental,MISS,80,40,120,1.8e-05,2.44e-06,2.044e-05,6.4948,eu-west-1,28.37,7,Scrambled Eggs (2 eggs),140,12,1,10,Two farm-fresh eggs scrambled with a splash of milk and cooked in a small pat of butter.
119,Banana,Experimental,MISS,81,41,122,1.837e-05,6.2e-07,1.899e-05,5.6528,eu-west-1,7.17,7,Medium Banana,105,1.3,27,0.3,"One raw yellow banana, an excellent quick source of potassium, vitamins, and fast-acting carbs."
120,Orange,Experimental,MISS,88,42,130,1.92e-05,1.42e-06,2.062e-05,6.0512,eu-west-1,16.53,7,Meal (Orange),420,22,45,16,"A balanced energy bowl containing complex grains, lean protein, healthy fats, and steamed vegetables."
121,Grapes,Experimental,MISS,89,38,127,1.807e-05,2.58e-06,2.065e-05,6.5854,eu-west-1,30.11,7,Fresh Apple,95,0.5,25,0.3,"A standard medium-sized raw apple with skin, high in fiber and vitamin C."
122,Strawberry,Experimental,MISS,89,35,124,1.717e-05,3.91e-06,2.108e-05,7.1944,eu-west-1,45.56,7,Meal (Strawberry),420,22,45,16,"A balanced energy bowl containing complex grains, lean protein, healthy fats, and steamed vegetables."
123,Broccoli,Experimental,MISS,83,35,118,1.672e-05,2.5e-06,1.922e-05,6.5184,eu-west-1,29.11,7,Meal (Broccoli),420,22,45,16,"A balanced energy bowl containing complex grains, lean protein, healthy fats, and steamed vegetables."
124,Carrot,Experimental,HIT,0,0,0,0,2.86e-06,2.86e-06,0.002,eu-west-1,33.28,7,Meal (Pomegranate),420,22,45,16,"A balanced energy bowl containing complex grains, lean protein, healthy fats, and steamed vegetables."
125,Tomato,Experimental,MISS,82,38,120,1.755e-05,1.2e-06,1.875e-05,5.9172,eu-west-1,13.93,7,Meal (Broccoli),420,22,45,16,"A balanced energy bowl containing complex grains, lean protein, healthy fats, and steamed vegetables."
126,Apple,Experimental,HIT,0,0,0,0,2.86e-06,2.86e-06,0.002,eu-west-1,33.28,7,Meal (Pomegranate),420,22,45,16,"A balanced energy bowl containing complex grains, lean protein, healthy fats, and steamed vegetables."
127,Pizza,Experimental,HIT,0,0,0,0,2.95e-06,2.95e-06,0.002,eu-west-1,34.32,7,Pepperoni Pizza Slice,290,12,32,12,One large slice of classic hand-tossed pepperoni pizza with mozzarella cheese and tomato sauce.
128,Salad,Experimental,HIT,0,0,0,0,2.72e-06,2.72e-06,0.002,eu-west-1,31.64,7,Meal (Pot),420,22,45,16,"A balanced energy bowl containing complex grains, lean protein, healthy fats, and steamed vegetables."
129,Burger,Experimental,HIT,0,0,0,0,1.5e-06,1.5e-06,0.002,eu-west-1,17.49,7,Pepperoni Pizza Slice,290,12,32,12,One large slice of classic hand-tossed pepperoni pizza with mozzarella cheese and tomato sauce.
130,Eggs,Experimental,HIT,0,0,0,0,3e-07,3e-07,0.002,eu-west-1,3.5,7,Meal (Ping-pong ball),420,22,45,16,"A balanced energy bowl containing complex grains, lean protein, healthy fats, and steamed vegetables."
131,Chicken,Experimental,HIT,0,0,0,0,3.54e-06,3.54e-06,0.002,eu-west-1,41.27,7,Meal (Handkerchief),420,22,45,16,"A balanced energy bowl containing complex grains, lean protein, healthy fats, and steamed vegetables."
132,Steak,Experimental,HIT,0,0,0,0,3.56e-06,3.56e-06,0.002,eu-west-1,41.45,7,Meal (Hot pot),420,22,45,16,"A balanced energy bowl containing complex grains, lean protein, healthy fats, and steamed vegetables."
133,Pasta,Experimental,HIT,0,0,0,0,3.11e-06,3.11e-06,0.002,eu-west-1,36.27,7,Meal (Acorn squash),420,22,45,16,"A balanced energy bowl containing complex grains, lean protein, healthy fats, and steamed vegetables."
134,Sandwich,Experimental,HIT,0,0,0,0,2.37e-06,2.37e-06,0.002,eu-west-1,27.65,7,Meal (Plate),420,22,45,16,"A balanced energy bowl containing complex grains, lean protein, healthy fats, and steamed vegetables."
135,Sushi,Experimental,HIT,0,0,0,0,2.11e-06,2.11e-06,0.002,eu-west-1,24.58,7,Meal (Burrito),420,22,45,16,"A balanced energy bowl containing complex grains, lean protein, healthy fats, and steamed vegetables."
136,Soup,Experimental,HIT,0,0,0,0,2.86e-06,2.86e-06,0.002,eu-west-1,33.28,7,Meal (Pomegranate),420,22,45,16,"A balanced energy bowl containing complex grains, lean protein, healthy fats, and steamed vegetables."
137,Taco,Experimental,HIT,0,0,0,0,2.75e-06,2.75e-06,0.002,eu-west-1,32.06,7,Meal (Wok),420,22,45,16,"A balanced energy bowl containing complex grains, lean protein, healthy fats, and steamed vegetables."
138,Rice,Experimental,HIT,0,0,0,0,2.86e-06,2.86e-06,0.002,eu-west-1,33.28,7,Meal (Pomegranate),420,22,45,16,"A balanced energy bowl containing complex grains, lean protein, healthy fats, and steamed vegetables."
139,Salmon,Experimental,HIT,0,0,0,0,1.03e-06,1.03e-06,0.002,eu-west-1,11.96,7,Meal (Plate),420,22,45,16,"A balanced energy bowl containing complex grains, lean protein, healthy fats, and steamed vegetables."
140,Cheese,Experimental,HIT,0,0,0,0,1.77e-06,1.77e-06,0.002,eu-west-1,20.63,7,Meal (Palace),420,22,45,16,"A balanced energy bowl containing complex grains, lean protein, healthy fats, and steamed vegetables."
141,Fries,Experimental,HIT,0,0,0,0,2.58e-06,2.58e-06,0.002,eu-west-1,30.09,7,Meal (Plate),420,22,45,16,"A balanced energy bowl containing complex grains, lean protein, healthy fats, and steamed vegetables."
142,Cookie,Experimental,HIT,0,0,0,0,4.37e-06,4.37e-06,0.002,eu-west-1,50.96,7,Meal (Dough),420,22,45,16,"A balanced energy bowl containing complex grains, lean protein, healthy fats, and steamed vegetables."
143,Cake,Experimental,HIT,0,0,0,0,2.44e-06,2.44e-06,0.002,eu-west-1,28.37,7,Scrambled Eggs (2 eggs),140,12,1,10,Two farm-fresh eggs scrambled with a splash of milk and cooked in a small pat of butter.
144,Banana,Experimental,HIT,0,0,0,0,6.2e-07,6.2e-07,0.002,eu-west-1,7.17,7,Medium Banana,105,1.3,27,0.3,"One raw yellow banana, an excellent quick source of potassium, vitamins, and fast-acting carbs."
145,Orange,Experimental,HIT,0,0,0,0,1.42e-06,1.42e-06,0.002,eu-west-1,16.53,7,Meal (Orange),420,22,45,16,"A balanced energy bowl containing complex grains, lean protein, healthy fats, and steamed vegetables."
146,Grapes,Experimental,HIT,0,0,0,0,2.58e-06,2.58e-06,0.002,eu-west-1,30.11,7,Fresh Apple,95,0.5,25,0.3,"A standard medium-sized raw apple with skin, high in fiber and vitamin C."
147,Strawberry,Experimental,HIT,0,0,0,0,3.91e-06,3.91e-06,0.002,eu-west-1,45.56,7,Meal (Strawberry),420,22,45,16,"A balanced energy bowl containing complex grains, lean protein, healthy fats, and steamed vegetables."
148,Broccoli,Experimental,HIT,0,0,0,0,2.5e-06,2.5e-06,0.002,eu-west-1,29.11,7,Meal (Broccoli),420,22,45,16,"A balanced energy bowl containing complex grains, lean protein, healthy fats, and steamed vegetables."
149,Carrot,Experimental,HIT,0,0,0,0,2.86e-06,2.86e-06,0.002,eu-west-1,33.28,7,Meal (Pomegranate),420,22,45,16,"A balanced energy bowl containing complex grains, lean protein, healthy fats, and steamed vegetables."
150,Tomato,Experimental,HIT,0,0,0,0,1.2e-06,1.2e-06,0.002,eu-west-1,13.93,7,Meal (Broccoli),420,22,45,16,"A balanced energy bowl containing complex grains, lean protein, healthy fats, and steamed vegetables."
151,Apple,Experimental,HIT,0,0,0,0,2.86e-06,2.86e-06,0.002,eu-west-1,33.28,7,Meal (Pomegranate),420,22,45,16,"A balanced energy bowl containing complex grains, lean protein, healthy fats, and steamed vegetables."
152,Pizza,Experimental,HIT,0,0,0,0,2.95e-06,2.95e-06,0.002,eu-west-1,34.32,7,Pepperoni Pizza Slice,290,12,32,12,One large slice of classic hand-tossed pepperoni pizza with mozzarella cheese and tomato sauce.
153,Salad,Experimental,HIT,0,0,0,0,2.72e-06,2.72e-06,0.002,eu-west-1,31.64,7,Meal (Pot),420,22,45,16,"A balanced energy bowl containing complex grains, lean protein, healthy fats, and steamed vegetables."
154,Burger,Experimental,HIT,0,0,0,0,1.5e-06,1.5e-06,0.002,eu-west-1,17.49,7,Pepperoni Pizza Slice,290,12,32,12,One large slice of classic hand-tossed pepperoni pizza with mozzarella cheese and tomato sauce.
155,Eggs,Experimental,HIT,0,0,0,0,3e-07,3e-07,0.002,eu-west-1,3.5,7,Meal (Ping-pong ball),420,22,45,16,"A balanced energy bowl containing complex grains, lean protein, healthy fats, and steamed vegetables."
156,Chicken,Experimental,HIT,0,0,0,0,3.54e-06,3.54e-06,0.002,eu-west-1,41.27,7,Meal (Handkerchief),420,22,45,16,"A balanced energy bowl containing complex grains, lean protein, healthy fats, and steamed vegetables."
157,Steak,Experimental,HIT,0,0,0,0,3.56e-06,3.56e-06,0.002,eu-west-1,41.45,7,Meal (Hot pot),420,22,45,16,"A balanced energy bowl containing complex grains, lean protein, healthy fats, and steamed vegetables."
158,Pasta,Experimental,HIT,0,0,0,0,3.11e-06,3.11e-06,0.002,eu-west-1,36.27,7,Meal (Acorn squash),420,22,45,16,"A balanced energy bowl containing complex grains, lean protein, healthy fats, and steamed vegetables."
159,Sandwich,Experimental,HIT,0,0,0,0,2.37e-06,2.37e-06,0.002,eu-west-1,27.65,7,Meal (Plate),420,22,45,16,"A balanced energy bowl containing complex grains, lean protein, healthy fats, and steamed vegetables."
160,Sushi,Experimental,HIT,0,0,0,0,2.11e-06,2.11e-06,0.002,eu-west-1,24.58,7,Meal (Burrito),420,22,45,16,"A balanced energy bowl containing complex grains, lean protein, healthy fats, and steamed vegetables."
161,Soup,Experimental,HIT,0,0,0,0,2.86e-06,2.86e-06,0.002,eu-west-1,33.28,7,Meal (Pomegranate),420,22,45,16,"A balanced energy bowl containing complex grains, lean protein, healthy fats, and steamed vegetables."
162,Taco,Experimental,HIT,0,0,0,0,2.75e-06,2.75e-06,0.002,eu-west-1,32.06,7,Meal (Wok),420,22,45,16,"A balanced energy bowl containing complex grains, lean protein, healthy fats, and steamed vegetables."
163,Rice,Experimental,HIT,0,0,0,0,2.86e-06,2.86e-06,0.002,eu-west-1,33.28,7,Meal (Pomegranate),420,22,45,16,"A balanced energy bowl containing complex grains, lean protein, healthy fats, and steamed vegetables."
164,Salmon,Experimental,HIT,0,0,0,0,1.03e-06,1.03e-06,0.002,eu-west-1,11.96,7,Meal (Plate),420,22,45,16,"A balanced energy bowl containing complex grains, lean protein, healthy fats, and steamed vegetables."
165,Cheese,Experimental,HIT,0,0,0,0,1.77e-06,1.77e-06,0.002,eu-west-1,20.63,7,Meal (Palace),420,22,45,16,"A balanced energy bowl containing complex grains, lean protein, healthy fats, and steamed vegetables."
166,Fries,Experimental,HIT,0,0,0,0,2.58e-06,2.58e-06,0.002,eu-west-1,30.09,7,Meal (Plate),420,22,45,16,"A balanced energy bowl containing complex grains, lean protein, healthy fats, and steamed vegetables."
167,Cookie,Experimental,HIT,0,0,0,0,4.37e-06,4.37e-06,0.002,eu-west-1,50.96,7,Meal (Dough),420,22,45,16,"A balanced energy bowl containing complex grains, lean protein, healthy fats, and steamed vegetables."
168,Cake,Experimental,HIT,0,0,0,0,2.44e-06,2.44e-06,0.002,eu-west-1,28.37,7,Scrambled Eggs (2 eggs),140,12,1,10,Two farm-fresh eggs scrambled with a splash of milk and cooked in a small pat of butter.
169,Banana,Experimental,HIT,0,0,0,0,6.2e-07,6.2e-07,0.002,eu-west-1,7.17,7,Medium Banana,105,1.3,27,0.3,"One raw yellow banana, an excellent quick source of potassium, vitamins, and fast-acting carbs."
170,Orange,Experimental,HIT,0,0,0,0,1.42e-06,1.42e-06,0.002,eu-west-1,16.53,7,Meal (Orange),420,22,45,16,"A balanced energy bowl containing complex grains, lean protein, healthy fats, and steamed vegetables."
171,Grapes,Experimental,HIT,0,0,0,0,2.58e-06,2.58e-06,0.002,eu-west-1,30.11,7,Fresh Apple,95,0.5,25,0.3,"A standard medium-sized raw apple with skin, high in fiber and vitamin C."
172,Strawberry,Experimental,HIT,0,0,0,0,3.91e-06,3.91e-06,0.002,eu-west-1,45.56,7,Meal (Strawberry),420,22,45,16,"A balanced energy bowl containing complex grains, lean protein, healthy fats, and steamed vegetables."
173,Broccoli,Experimental,HIT,0,0,0,0,2.5e-06,2.5e-06,0.002,eu-west-1,29.11,7,Meal (Broccoli),420,22,45,16,"A balanced energy bowl containing complex grains, lean protein, healthy fats, and steamed vegetables."
174,Carrot,Experimental,HIT,0,0,0,0,2.86e-06,2.86e-06,0.002,eu-west-1,33.28,7,Meal (Pomegranate),420,22,45,16,"A balanced energy bowl containing complex grains, lean protein, healthy fats, and steamed vegetables."
175,Tomato,Experimental,HIT,0,0,0,0,1.2e-06,1.2e-06,0.002,eu-west-1,13.93,7,Meal (Broccoli),420,22,45,16,"A balanced energy bowl containing complex grains, lean protein, healthy fats, and steamed vegetables."
176,Apple,Experimental,HIT,0,0,0,0,2.86e-06,2.86e-06,0.002,eu-west-1,33.28,7,Meal (Pomegranate),420,22,45,16,"A balanced energy bowl containing complex grains, lean protein, healthy fats, and steamed vegetables."
177,Pizza,Experimental,HIT,0,0,0,0,2.95e-06,2.95e-06,0.002,eu-west-1,34.32,7,Pepperoni Pizza Slice,290,12,32,12,One large slice of classic hand-tossed pepperoni pizza with mozzarella cheese and tomato sauce.
178,Salad,Experimental,HIT,0,0,0,0,2.72e-06,2.72e-06,0.002,eu-west-1,31.64,7,Meal (Pot),420,22,45,16,"A balanced energy bowl containing complex grains, lean protein, healthy fats, and steamed vegetables."
179,Burger,Experimental,HIT,0,0,0,0,1.5e-06,1.5e-06,0.002,eu-west-1,17.49,7,Pepperoni Pizza Slice,290,12,32,12,One large slice of classic hand-tossed pepperoni pizza with mozzarella cheese and tomato sauce.
180,Eggs,Experimental,HIT,0,0,0,0,3e-07,3e-07,0.002,eu-west-1,3.5,7,Meal (Ping-pong ball),420,22,45,16,"A balanced energy bowl containing complex grains, lean protein, healthy fats, and steamed vegetables."
181,Chicken,Experimental,HIT,0,0,0,0,3.54e-06,3.54e-06,0.002,eu-west-1,41.27,7,Meal (Handkerchief),420,22,45,16,"A balanced energy bowl containing complex grains, lean protein, healthy fats, and steamed vegetables."
182,Steak,Experimental,HIT,0,0,0,0,3.56e-06,3.56e-06,0.002,eu-west-1,41.45,7,Meal (Hot pot),420,22,45,16,"A balanced energy bowl containing complex grains, lean protein, healthy fats, and steamed vegetables."
183,Pasta,Experimental,HIT,0,0,0,0,3.11e-06,3.11e-06,0.002,eu-west-1,36.27,7,Meal (Acorn squash),420,22,45,16,"A balanced energy bowl containing complex grains, lean protein, healthy fats, and steamed vegetables."
184,Sandwich,Experimental,HIT,0,0,0,0,2.37e-06,2.37e-06,0.002,eu-west-1,27.65,7,Meal (Plate),420,22,45,16,"A balanced energy bowl containing complex grains, lean protein, healthy fats, and steamed vegetables."
185,Sushi,Experimental,HIT,0,0,0,0,2.11e-06,2.11e-06,0.002,eu-west-1,24.58,7,Meal (Burrito),420,22,45,16,"A balanced energy bowl containing complex grains, lean protein, healthy fats, and steamed vegetables."
186,Soup,Experimental,HIT,0,0,0,0,2.86e-06,2.86e-06,0.002,eu-west-1,33.28,7,Meal (Pomegranate),420,22,45,16,"A balanced energy bowl containing complex grains, lean protein, healthy fats, and steamed vegetables."
187,Taco,Experimental,HIT,0,0,0,0,2.75e-06,2.75e-06,0.002,eu-west-1,32.06,7,Meal (Wok),420,22,45,16,"A balanced energy bowl containing complex grains, lean protein, healthy fats, and steamed vegetables."
188,Rice,Experimental,HIT,0,0,0,0,2.86e-06,2.86e-06,0.002,eu-west-1,33.28,7,Meal (Pomegranate),420,22,45,16,"A balanced energy bowl containing complex grains, lean protein, healthy fats, and steamed vegetables."
189,Salmon,Experimental,HIT,0,0,0,0,1.03e-06,1.03e-06,0.002,eu-west-1,11.96,7,Meal (Plate),420,22,45,16,"A balanced energy bowl containing complex grains, lean protein, healthy fats, and steamed vegetables."
190,Cheese,Experimental,HIT,0,0,0,0,1.77e-06,1.77e-06,0.002,eu-west-1,20.63,7,Meal (Palace),420,22,45,16,"A balanced energy bowl containing complex grains, lean protein, healthy fats, and steamed vegetables."
191,Fries,Experimental,HIT,0,0,0,0,2.58e-06,2.58e-06,0.002,eu-west-1,30.09,7,Meal (Plate),420,22,45,16,"A balanced energy bowl containing complex grains, lean protein, healthy fats, and steamed vegetables."
192,Cookie,Experimental,HIT,0,0,0,0,4.37e-06,4.37e-06,0.002,eu-west-1,50.96,7,Meal (Dough),420,22,45,16,"A balanced energy bowl containing complex grains, lean protein, healthy fats, and steamed vegetables."
193,Cake,Experimental,HIT,0,0,0,0,2.44e-06,2.44e-06,0.002,eu-west-1,28.37,7,Scrambled Eggs (2 eggs),140,12,1,10,Two farm-fresh eggs scrambled with a splash of milk and cooked in a small pat of butter.
194,Banana,Experimental,HIT,0,0,0,0,6.2e-07,6.2e-07,0.002,eu-west-1,7.17,7,Medium Banana,105,1.3,27,0.3,"One raw yellow banana, an excellent quick source of potassium, vitamins, and fast-acting carbs."
195,Orange,Experimental,HIT,0,0,0,0,1.42e-06,1.42e-06,0.002,eu-west-1,16.53,7,Meal (Orange),420,22,45,16,"A balanced energy bowl containing complex grains, lean protein, healthy fats, and steamed vegetables."
196,Grapes,Experimental,HIT,0,0,0,0,2.58e-06,2.58e-06,0.002,eu-west-1,30.11,7,Fresh Apple,95,0.5,25,0.3,"A standard medium-sized raw apple with skin, high in fiber and vitamin C."
197,Strawberry,Experimental,HIT,0,0,0,0,3.91e-06,3.91e-06,0.002,eu-west-1,45.56,7,Meal (Strawberry),420,22,45,16,"A balanced energy bowl containing complex grains, lean protein, healthy fats, and steamed vegetables."
198,Broccoli,Experimental,HIT,0,0,0,0,2.5e-06,2.5e-06,0.002,eu-west-1,29.11,7,Meal (Broccoli),420,22,45,16,"A balanced energy bowl containing complex grains, lean protein, healthy fats, and steamed vegetables."
199,Carrot,Experimental,HIT,0,0,0,0,2.86e-06,2.86e-06,0.002,eu-west-1,33.28,7,Meal (Pomegranate),420,22,45,16,"A balanced energy bowl containing complex grains, lean protein, healthy fats, and steamed vegetables."
200,Tomato,Experimental,HIT,0,0,0,0,1.2e-06,1.2e-06,0.002,eu-west-1,13.93,7,Meal (Broccoli),420,22,45,16,"A balanced energy bowl containing complex grains, lean protein, healthy fats, and steamed vegetables."
